,result,table,_start,_stop,_time,_value,_field,_measurement,scenario,testUUID,testVersion
,_result,0,2026-06-02T09:19:26.402009161Z,2026-06-09T09:19:26.402009161Z,2026-06-09T09:12:30Z,9,value,activeUsers,flashSaleBrowseOnly,299c86a0-1793-4c6d-ae0b-a738fc10ae6a,v1
,_result,0,2026-06-02T09:19:26.402009161Z,2026-06-09T09:19:26.402009161Z,2026-06-09T09:12:31Z,20,value,activeUsers,flashSaleBrowseOnly,299c86a0-1793-4c6d-ae0b-a738fc10ae6a,v1
,_result,0,2026-06-02T09:19:26.402009161Z,2026-06-09T09:19:26.402009161Z,2026-06-09T09:12:32Z,30,value,activeUsers,flashSaleBrowseOnly,299c86a0-1793-4c6d-ae0b-a738fc10ae6a,v1
,_result,0,2026-06-02T09:19:26.402009161Z,2026-06-09T09:19:26.402009161Z,2026-06-09T09:12:33Z,41,value,activeUsers,flashSaleBrowseOnly,299c86a0-1793-4c6d-ae0b-a738fc10ae6a,v1
,_result,0,2026-06-02T09:19:26.402009161Z,2026-06-09T09:19:26.402009161Z,2026-06-09T09:12:34Z,49,value,activeUsers,flashSaleBrowseOnly,299c86a0-1793-4c6d-ae0b-a738fc10ae6a,v1
,_result,0,2026-06-02T09:19:26.402009161Z,2026-06-09T09:19:26.402009161Z,2026-06-09T09:12:35Z,58,value,activeUsers,flashSaleBrowseOnly,299c86a0-1793-4c6d-ae0b-a738fc10ae6a,v1
,_result,0,2026-06-02T09:19:26.402009161Z,2026-06-09T09:19:26.402009161Z,2026-06-09T09:12:36Z,65,value,activeUsers,flashSaleBrowseOnly,299c86a0-1793-4c6d-ae0b-a738fc10ae6a,v1
,_result,0,2026-06-02T09:19:26.402009161Z,2026-06-09T09:19:26.402009161Z,2026-06-09T09:12:37Z,68,value,activeUsers,flashSaleBrowseOnly,299c86a0-1793-4c6d-ae0b-a738fc10ae6a,v1
,_result,0,2026-06-02T09:19:26.402009161Z,2026-06-09T09:19:26.402009161Z,2026-06-09T09:12:38Z,77,value,activeUsers,flashSaleBrowseOnly,299c86a0-1793-4c6d-ae0b-a738fc10ae6a,v1
,_result,0,2026-06-02T09:19:26.402009161Z,2026-06-09T09:19:26.402009161Z,2026-06-09T09:12:39Z,85,value,activeUsers,flashSaleBrowseOnly,299c86a0-1793-4c6d-ae0b-a738fc10ae6a,v1
,_result,0,2026-06-02T09:19:26.402009161Z,2026-06-09T09:19:26.402009161Z,2026-06-09T09:12:40Z,93,value,activeUsers,flashSaleBrowseOnly,299c86a0-1793-4c6d-ae0b-a738fc10ae6a,v1
,_result,0,2026-06-02T09:19:26.402009161Z,2026-06-09T09:19:26.402009161Z,2026-06-09T09:12:41Z,100,value,activeUsers,flashSaleBrowseOnly,299c86a0-1793-4c6d-ae0b-a738fc10ae6a,v1
,_result,0,2026-06-02T09:19:26.402009161Z,2026-06-09T09:19:26.402009161Z,2026-06-09T09:12:42Z,108,value,activeUsers,flashSaleBrowseOnly,299c86a0-1793-4c6d-ae0b-a738fc10ae6a,v1
,_result,0,2026-06-02T09:19:26.402009161Z,2026-06-09T09:19:26.402009161Z,2026-06-09T09:12:43Z,120,value,activeUsers,flashSaleBrowseOnly,299c86a0-1793-4c6d-ae0b-a738fc10ae6a,v1
,_result,0,2026-06-02T09:19:26.402009161Z,2026-06-09T09:19:26.402009161Z,2026-06-09T09:12:44Z,130,value,activeUsers,flashSaleBrowseOnly,299c86a0-1793-4c6d-ae0b-a738fc10ae6a,v1
,_result,0,2026-06-02T09:19:26.402009161Z,2026-06-09T09:19:26.402009161Z,2026-06-09T09:12:45Z,141,value,activeUsers,flashSaleBrowseOnly,299c86a0-1793-4c6d-ae0b-a738fc10ae6a,v1
,_result,0,2026-06-02T09:19:26.402009161Z,2026-06-09T09:19:26.402009161Z,2026-06-09T09:12:46Z,152,value,activeUsers,flashSaleBrowseOnly,299c86a0-1793-4c6d-ae0b-a738fc10ae6a,v1
,_result,0,2026-06-02T09:19:26.402009161Z,2026-06-09T09:19:26.402009161Z,2026-06-09T09:12:47Z,159,value,activeUsers,flashSaleBrowseOnly,299c86a0-1793-4c6d-ae0b-a738fc10ae6a,v1
,_result,0,2026-06-02T09:19:26.402009161Z,2026-06-09T09:19:26.402009161Z,2026-06-09T09:12:48Z,164,value,activeUsers,flashSaleBrowseOnly,299c86a0-1793-4c6d-ae0b-a738fc10ae6a,v1
,_result,0,2026-06-02T09:19:26.402009161Z,2026-06-09T09:19:26.402009161Z,2026-06-09T09:12:49Z,173,value,activeUsers,flashSaleBrowseOnly,299c86a0-1793-4c6d-ae0b-a738fc10ae6a,v1
,_result,0,2026-06-02T09:19:26.402009161Z,2026-06-09T09:19:26.402009161Z,2026-06-09T09:12:50Z,183,value,activeUsers,flashSaleBrowseOnly,299c86a0-1793-4c6d-ae0b-a738fc10ae6a,v1
,_result,0,2026-06-02T09:19:26.402009161Z,2026-06-09T09:19:26.402009161Z,2026-06-09T09:12:51Z,186,value,activeUsers,flashSaleBrowseOnly,299c86a0-1793-4c6d-ae0b-a738fc10ae6a,v1
,_result,0,2026-06-02T09:19:26.402009161Z,2026-06-09T09:19:26.402009161Z,2026-06-09T09:12:52Z,199,value,activeUsers,flashSaleBrowseOnly,299c86a0-1793-4c6d-ae0b-a738fc10ae6a,v1
