,result,table,_start,_stop,_time,_value,_field,_measurement,scenario,testUUID,testVersion
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:55:15Z,8,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:55:16Z,18,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:55:17Z,30,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:55:18Z,41,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:55:19Z,50,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:55:20Z,53,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:55:21Z,63,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:55:22Z,73,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:55:23Z,78,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:55:24Z,86,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:55:25Z,94,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
